mass_A
t	x
2.944608333E1	2.794624546E1
2.946276667E1	1.265952177E1
2.947945000E1	-4.033466493E0
2.949613333E1	-2.030570689E1
2.951281667E1	-3.460014293E1
2.952950000E1	-4.502398258E1
2.954618333E1	-5.045943419E1
2.956286667E1	-5.015192232E1
2.957955000E1	-4.459919370E1
2.959623333E1	-3.430180511E1
2.961291667E1	-1.998872126E1
2.962960000E1	-3.738108306E0
2.964628333E1	1.299466419E1
2.966296667E1	2.819095775E1
2.967965000E1	3.999484507E1
2.969633333E1	4.703847870E1
2.971301667E1	4.868894367E1
2.972970000E1	4.468410627E1
2.974638333E1	3.525391363E1
2.976306667E1	2.194202152E1
2.977975000E1	5.822606635E0
2.979643333E1	-1.078322287E1
2.981311667E1	-2.648352532E1
2.982980000E1	-3.900077743E1
2.984648333E1	-4.732448134E1
2.986316667E1	-5.024462151E1
2.987985000E1	-4.798718560E1
2.989653333E1	-4.011022289E1
2.991321667E1	-2.805129230E1
2.992990000E1	-1.300047621E1
2.994658333E1	3.621142496E0
2.996326667E1	1.991804024E1
2.997995000E1	3.385112419E1
2.999663333E1	4.386315420E1
3.001331667E1	4.871528241E1
3.003000000E1	4.797569060E1
3.004668333E1	4.185987561E1
3.006336667E1	3.074221143E1
3.008005000E1	1.599974344E1
3.009673333E1	-3.924560041E-1
3.011341667E1	-1.657049286E1
3.013010000E1	-3.127365712E1
3.014678333E1	-4.214851210E1
3.016346667E1	-4.828619382E1
3.018015000E1	-4.921299574E1
3.019683333E1	-4.426986322E1
3.021351667E1	-3.502938085E1
3.023020000E1	-2.128459678E1
3.024688333E1	-5.249867985E0
3.026356667E1	1.114141339E1
3.028025000E1	2.658412971E1
3.029693333E1	3.900532451E1
3.031361667E1	4.664374507E1
3.033030000E1	4.882067206E1
3.034698333E1	4.588976708E1
3.036366667E1	3.781901379E1
3.038035000E1	2.498894750E1
3.039703333E1	9.473653112E0
3.041371667E1	-7.053361777E0
3.043040000E1	-2.284561639E1
3.044708333E1	-3.586402254E1
3.046376667E1	-4.509443093E1
3.048045000E1	-4.918795020E1
3.049713333E1	-4.769146889E1
3.051381667E1	-4.095227228E1
3.053050000E1	-2.976906180E1
3.054718333E1	-1.503922542E1
3.056386667E1	1.172625623E0
3.058055000E1	1.712795999E1
3.059723333E1	3.114407267E1
3.061391667E1	4.165858990E1
3.063060000E1	4.746504787E1
3.064728333E1	4.724669527E1
3.066396667E1	4.189174008E1
3.068065000E1	3.173593831E1
3.069733333E1	1.785024476E1
3.071401667E1	1.866175521E0
3.073070000E1	-1.428119423E1
3.074738333E1	-2.886556708E1
3.076406667E1	-4.020909214E1
3.078075000E1	-4.725076076E1
3.079743333E1	-4.905546834E1
3.081411667E1	-4.513020543E1
3.083080000E1	-3.671938503E1
3.084748333E1	-2.395081659E1
3.086416667E1	-8.433166212E0
3.088085000E1	7.835506463E0
3.089753333E1	2.327647070E1
3.091421667E1	3.589407844E1
3.093090000E1	4.433209582E1
3.094758333E1	4.745910802E1
3.096426667E1	4.510530652E1
3.098095000E1	3.770445255E1
3.099763333E1	2.590786675E1
3.101431667E1	1.094775808E1
3.103100000E1	-5.127327536E0
3.104768333E1	-2.076847526E1
3.106436667E1	-3.400113341E1
3.108105000E1	-4.374409164E1
3.109773333E1	-4.847723810E1
3.111441667E1	-4.740685164E1
3.113110000E1	-4.157230902E1
3.114778333E1	-3.114960066E1
3.116446667E1	-1.720960768E1
3.118115000E1	-1.383064842E0
3.119783333E1	1.475373808E1
3.121451667E1	2.911454478E1
3.123120000E1	3.984881203E1
3.124788333E1	4.618776010E1
3.126456667E1	4.698526464E1
3.128125000E1	4.266456698E1
3.129793333E1	3.315885819E1
3.131461667E1	1.987715499E1
3.133130000E1	4.519347725E0
3.134798333E1	-1.156725664E1
3.136466667E1	-2.650758017E1
3.138135000E1	-3.851009016E1
3.139803333E1	-4.618001488E1
3.141471667E1	-4.846140579E1
3.143140000E1	-4.536815358E1
3.144808333E1	-3.734157011E1
3.146476667E1	-2.541178127E1
3.148145000E1	-1.049464895E1
3.149813333E1	5.797314806E0
3.151481667E1	2.118217345E1
3.153150000E1	3.396900221E1
3.154818333E1	4.281844140E1
3.156486667E1	4.691086562E1
3.158155000E1	4.582214962E1
3.159823333E1	3.913978531E1
3.161491667E1	2.801621696E1
3.163160000E1	1.382147554E1
3.164828333E1	-2.046344744E0
3.166496667E1	-1.770470808E1
3.168165000E1	-3.152325092E1
3.169833333E1	-4.162476616E1
3.171501667E1	-4.717368185E1
3.173170000E1	-4.733343427E1
3.174838333E1	-4.230406750E1
3.176506667E1	-3.268742572E1
3.178175000E1	-1.938134400E1
3.179843333E1	-3.940127719E0
3.181511667E1	1.197223340E1
3.183180000E1	2.644265329E1
3.184848333E1	3.782577661E1
3.186516667E1	4.478757987E1
3.188185000E1	4.666984452E1
3.189853333E1	4.308489835E1
3.191521667E1	3.479587955E1
3.193190000E1	2.209234659E1
3.194858333E1	6.947205636E0
3.196526667E1	-8.997959349E0
3.198195000E1	-2.379395157E1
3.199863333E1	-3.601637455E1
3.201531667E1	-4.421138903E1
3.203200000E1	-4.755513650E1
3.204868333E1	-4.572102747E1
3.206536667E1	-3.869239400E1
3.208205000E1	-2.748218815E1
3.209873333E1	-1.312352602E1
3.211541667E1	2.818006416E0
3.213210000E1	1.811479963E1
3.214878333E1	3.128591370E1
3.216546667E1	4.079681131E1
3.218215000E1	4.567576994E1
3.219883333E1	4.551602724E1
3.221551667E1	3.990359696E1
3.223220000E1	2.957596409E1
3.224888333E1	1.590291104E1
3.226556667E1	5.660594756E-1
3.228225000E1	-1.488324744E1
3.229893333E1	-2.880097880E1
3.231561667E1	-3.934780620E1
3.233230000E1	-4.569098527E1
3.234898333E1	-4.702000308E1
3.236566667E1	-4.285553881E1
3.238235000E1	-3.405306617E1
3.239903333E1	-2.116000478E1
3.241571667E1	-6.165193517E0
3.243240000E1	9.633596356E0
3.244908333E1	2.417428834E1
3.246576667E1	3.597539830E1
3.248245000E1	4.357075505E1
3.249913333E1	4.603284667E1
3.251581667E1	4.356670572E1
3.253250000E1	3.599769140E1
3.254918333E1	2.412625542E1
3.256586667E1	9.538034148E0
3.258255000E1	-6.030635802E0
3.259923333E1	-2.083102404E1
3.261591667E1	-3.357975986E1
3.263260000E1	-4.248121745E1
3.264928333E1	-4.647577196E1
