mass_A
t	x
9.499490000E1	9.565661953E0
9.502826667E1	5.083612854E0
9.506163333E1	1.017546704E1
9.509500000E1	2.141742450E1
9.512836667E1	3.527030712E1
9.516173333E1	4.457697838E1
9.519510000E1	4.557773054E1
9.522846667E1	3.767222144E1
9.526183333E1	2.447926157E1
9.529520000E1	1.240146229E1
9.532856667E1	5.476447079E0
9.536193333E1	7.799894772E0
9.539530000E1	1.840902383E1
9.542866667E1	3.149993556E1
9.546203333E1	4.250930425E1
9.549540000E1	4.589123410E1
9.552876667E1	4.030506092E1
9.556213333E1	2.858625708E1
9.559550000E1	1.502429621E1
9.562886667E1	6.400996488E0
9.566223333E1	6.425548119E0
9.569560000E1	1.533648066E1
9.572896667E1	2.860014582E1
9.576233333E1	4.041358391E1
9.579570000E1	4.618254662E1
9.582906667E1	4.259015540E1
9.586243333E1	3.158657968E1
9.589580000E1	1.849641307E1
9.592916667E1	8.213610885E0
9.596253333E1	5.570378405E0
9.599590000E1	1.242288546E1
9.602926667E1	2.450444087E1
9.606263333E1	3.753676529E1
9.609600000E1	4.543195570E1
9.612936667E1	4.438526585E1
9.616273333E1	3.556628348E1
9.619610000E1	2.138726489E1
9.622946667E1	1.026685235E1
9.626283333E1	5.487877641E0
9.629620000E1	9.946896240E0
9.632956667E1	2.153661875E1
9.636293333E1	3.449623377E1
9.639630000E1	4.413936409E1
9.642966667E1	4.542898780E1
9.646303333E1	3.852243879E1
9.649640000E1	2.550518598E1
9.652976667E1	1.256092563E1
9.656313333E1	5.646122731E0
9.659650000E1	7.763705220E0
9.662986667E1	1.811581321E1
9.666323333E1	3.169162661E1
9.669660000E1	4.263636573E1
9.672996667E1	4.556260259E1
9.676333333E1	4.035929103E1
9.679670000E1	2.833897246E1
9.683006667E1	1.551658893E1
9.686343333E1	6.613076642E0
9.689680000E1	6.451673540E0
9.693016667E1	1.473369184E1
9.696353333E1	2.737052201E1
9.699690000E1	3.949976948E1
9.703026667E1	4.543514370E1
9.706363333E1	4.244629352E1
9.709700000E1	3.155344070E1
9.713036667E1	1.860056850E1
9.716373333E1	8.301218416E0
9.719710000E1	5.530208038E0
9.723046667E1	1.177331511E1
9.726383333E1	2.442131845E1
9.729720000E1	3.654937315E1
9.733056667E1	4.449601568E1
9.736393333E1	4.366199419E1
9.739730000E1	3.453774660E1
9.743066667E1	2.142530070E1
9.746403333E1	9.470421963E0
9.749740000E1	5.279801106E0
9.753076667E1	9.454152167E0
9.756413333E1	2.032950419E1
9.759750000E1	3.353673747E1
9.763086667E1	4.337991069E1
9.766423333E1	4.438543230E1
9.769760000E1	3.764846312E1
9.773096667E1	2.548150224E1
9.776433333E1	1.234358883E1
9.779770000E1	5.621268215E0
9.783106667E1	7.518405393E0
9.786443333E1	1.744797798E1
9.789780000E1	3.038213787E1
9.793116667E1	4.143276463E1
9.796453333E1	4.538068629E1
9.799790000E1	4.040485517E1
9.803126667E1	2.852807681E1
9.806463333E1	1.544335966E1
9.809800000E1	6.468636805E0
9.813136667E1	6.480456270E0
9.816473333E1	1.449696906E1
9.819810000E1	2.747901695E1
9.823146667E1	3.839768302E1
9.826483333E1	4.440053607E1
9.829820000E1	4.151408636E1
9.833156667E1	3.138537244E1
9.836493333E1	1.849667724E1
9.839830000E1	8.537994545E0
9.843166667E1	5.550459842E0
9.846503333E1	1.155032575E1
9.849840000E1	2.334874636E1
9.853176667E1	3.638416652E1
9.856513333E1	4.351202558E1
9.859850000E1	4.356500509E1
9.863186667E1	3.467482467E1
9.866523333E1	2.162309150E1
9.869860000E1	1.047269049E1
9.873196667E1	5.474637620E0
9.876533333E1	9.377364793E0
9.879870000E1	2.040454104E1
9.883206667E1	3.353050294E1
9.886543333E1	4.249942871E1
9.889880000E1	4.444120572E1
9.893216667E1	3.748647452E1
9.896553333E1	2.554653611E1
9.899890000E1	1.350771135E1
9.903226667E1	6.502929589E0
9.906563333E1	7.426573289E0
9.909900000E1	1.751003386E1
9.913236667E1	2.938009311E1
9.916573333E1	4.041934904E1
9.919910000E1	4.443978268E1
9.923246667E1	3.960120698E1
9.926583333E1	2.836546446E1
9.929920000E1	1.569926274E1
9.933256667E1	6.593282575E0
9.936593333E1	6.509919237E0
9.939930000E1	1.351984423E1
9.943266667E1	2.641399777E1
9.946603333E1	3.848769549E1
9.949940000E1	4.453871108E1
9.953276667E1	4.138637421E1
9.956613333E1	3.141888832E1
9.959950000E1	1.866960546E1
9.963286667E1	8.357044713E0
9.966623333E1	5.305175447E0
9.969960000E1	1.150181832E1
9.973296667E1	2.234694379E1
9.976633333E1	3.519834347E1
9.979970000E1	4.327017267E1
9.983306667E1	4.238237589E1
9.986643333E1	3.450010255E1
9.989980000E1	2.152256162E1
9.993316667E1	1.043738652E1
9.996653333E1	5.267018305E0
9.999990000E1	9.469879888E0
1.000332667E2	1.943026702E1
1.000666333E2	3.248435981E1
1.001000000E2	4.150807867E1
1.001333667E2	4.349310387E1
1.001667333E2	3.754618906E1
1.002001000E2	2.540574084E1
1.002334667E2	1.344020592E1
1.002668333E2	6.322403611E0
1.003002000E2	7.496982947E0
1.003335667E2	1.652327314E1
1.003669333E2	2.949865499E1
1.004003000E2	4.044396021E1
1.004336667E2	4.407702112E1
1.004670333E2	3.955081670E1
1.005004000E2	2.847174296E1
1.005337667E2	1.628763326E1
1.005671333E2	7.341305414E0
1.006005000E2	6.342753302E0
1.006338667E2	1.350135973E1
1.006672333E2	2.541600043E1
1.007006000E2	3.747180434E1
1.007339667E2	4.361410839E1
1.007673333E2	4.142798370E1
1.008007000E2	3.151586751E1
1.008340667E2	1.932462868E1
1.008674333E2	9.436458989E0
1.009008000E2	6.342805868E0
1.009341667E2	1.154998335E1
1.009675333E2	2.247072176E1
1.010009000E2	3.519601983E1
1.010342667E2	4.244916278E1
1.010676333E2	4.243138404E1
1.011010000E2	3.439778478E1
1.011343667E2	2.235794995E1
1.011677333E2	1.148255114E1
1.012011000E2	6.190920625E0
1.012344667E2	9.383752399E0
1.012678333E2	1.970592803E1
1.013012000E2	3.248718991E1
1.013345667E2	4.149638970E1
1.013679333E2	4.325102813E1
1.014013000E2	3.756232611E1
1.014346667E2	2.549627358E1
1.014680333E2	1.331903622E1
1.015014000E2	6.586467412E0
1.015347667E2	7.522189187E0
1.015681333E2	1.638791620E1
1.016015000E2	2.843019823E1
1.016348667E2	3.939468793E1
1.016682333E2	4.335208222E1
1.017016000E2	3.921772162E1
